,controller_name,episode,reward_mean,reward_sum,query_cost_mean,query_cost_sum,query_cost_weight,accuracy_cost_mean,accuracy_cost_sum,accuracy_weight,cloud_query_budget_frac
0,curr_cloud,512,-2.6163522012578615,-416.0,2.1132075471698113,336.0,1.0,0.050314465408805034,8.0,10.0,0.8
0,curr_cloud,2,-6.890243902439025,-565.0,0.18292682926829268,15.0,1.0,0.6707317073170732,55.0,10.0,0.05
0,curr_cloud,518,-2.1761006289308176,-346.0,2.1132075471698113,336.0,1.0,0.006289308176100629,1.0,10.0,0.8
0,curr_cloud,8,-5.426829268292683,-445.0,0.18292682926829268,15.0,1.0,0.524390243902439,43.0,10.0,0.05
0,curr_cloud,524,-2.490566037735849,-396.0,2.1132075471698113,336.0,1.0,0.03773584905660377,6.0,10.0,0.8
0,curr_cloud,14,-6.158536585365853,-505.0,0.18292682926829268,15.0,1.0,0.5975609756097561,49.0,10.0,0.05
0,curr_cloud,530,-2.1132075471698113,-336.0,2.1132075471698113,336.0,1.0,0.0,0.0,10.0,0.8
0,curr_cloud,20,-7.621951219512195,-625.0,0.18292682926829268,15.0,1.0,0.7439024390243902,61.0,10.0,0.05
0,curr_cloud,536,-2.30188679245283,-366.0,2.1132075471698113,336.0,1.0,0.018867924528301886,3.0,10.0,0.8
0,curr_cloud,26,-6.158536585365853,-505.0,0.18292682926829268,15.0,1.0,0.5975609756097561,49.0,10.0,0.05
0,curr_cloud,542,-2.30188679245283,-366.0,2.1132075471698113,336.0,1.0,0.018867924528301886,3.0,10.0,0.8
0,curr_cloud,32,-7.621951219512195,-625.0,0.18292682926829268,15.0,1.0,0.7439024390243902,61.0,10.0,0.05
0,curr_cloud,548,-2.1761006289308176,-346.0,2.1132075471698113,336.0,1.0,0.006289308176100629,1.0,10.0,0.8
0,curr_cloud,38,-6.7682926829268295,-555.0,0.18292682926829268,15.0,1.0,0.6585365853658537,54.0,10.0,0.05
0,curr_cloud,554,-2.490566037735849,-396.0,2.1132075471698113,336.0,1.0,0.03773584905660377,6.0,10.0,0.8
0,curr_cloud,44,-6.280487804878049,-515.0,0.18292682926829268,15.0,1.0,0.6097560975609756,50.0,10.0,0.05
0,curr_cloud,560,-2.6163522012578615,-416.0,2.1132075471698113,336.0,1.0,0.050314465408805034,8.0,10.0,0.8
0,curr_cloud,50,-4.451219512195122,-365.0,0.18292682926829268,15.0,1.0,0.4268292682926829,35.0,10.0,0.05
0,curr_cloud,566,-2.1132075471698113,-336.0,2.1132075471698113,336.0,1.0,0.0,0.0,10.0,0.8
0,curr_cloud,56,-7.5,-615.0,0.18292682926829268,15.0,1.0,0.7317073170731707,60.0,10.0,0.05
0,curr_cloud,572,-2.5534591194968552,-406.0,2.1132075471698113,336.0,1.0,0.0440251572327044,7.0,10.0,0.8
0,curr_cloud,62,-7.012195121951219,-575.0,0.18292682926829268,15.0,1.0,0.6829268292682927,56.0,10.0,0.05
0,curr_cloud,578,-2.490566037735849,-396.0,2.1132075471698113,336.0,1.0,0.03773584905660377,6.0,10.0,0.8
0,curr_cloud,68,-5.182926829268292,-425.0,0.18292682926829268,15.0,1.0,0.5,41.0,10.0,0.05
0,curr_cloud,584,-2.6163522012578615,-416.0,2.1132075471698113,336.0,1.0,0.050314465408805034,8.0,10.0,0.8
0,curr_cloud,74,-6.524390243902439,-535.0,0.18292682926829268,15.0,1.0,0.6341463414634146,52.0,10.0,0.05
0,curr_cloud,590,-2.5534591194968552,-406.0,2.1132075471698113,336.0,1.0,0.0440251572327044,7.0,10.0,0.8
0,curr_cloud,80,-6.158536585365853,-505.0,0.18292682926829268,15.0,1.0,0.5975609756097561,49.0,10.0,0.05
0,curr_cloud,596,-3.056603773584906,-486.0,2.1132075471698113,336.0,1.0,0.09433962264150944,15.0,10.0,0.8
0,curr_cloud,86,-6.890243902439025,-565.0,0.18292682926829268,15.0,1.0,0.6707317073170732,55.0,10.0,0.05
0,curr_cloud,602,-2.3144654088050314,-368.0,2.3144654088050314,368.0,1.0,0.0,0.0,10.0,0.9
0,curr_cloud,92,-6.890243902439025,-565.0,0.18292682926829268,15.0,1.0,0.6707317073170732,55.0,10.0,0.05
0,curr_cloud,608,-2.691823899371069,-428.0,2.3144654088050314,368.0,1.0,0.03773584905660377,6.0,10.0,0.9
0,curr_cloud,98,-6.890243902439025,-565.0,0.18292682926829268,15.0,1.0,0.6707317073170732,55.0,10.0,0.05
0,curr_cloud,614,-2.691823899371069,-428.0,2.3144654088050314,368.0,1.0,0.03773584905660377,6.0,10.0,0.9
0,curr_cloud,104,-6.890243902439025,-565.0,0.18292682926829268,15.0,1.0,0.6707317073170732,55.0,10.0,0.05
0,curr_cloud,620,-2.3144654088050314,-368.0,2.3144654088050314,368.0,1.0,0.0,0.0,10.0,0.9
0,curr_cloud,110,-6.7682926829268295,-555.0,0.18292682926829268,15.0,1.0,0.6585365853658537,54.0,10.0,0.05
0,curr_cloud,626,-2.7547169811320753,-438.0,2.3144654088050314,368.0,1.0,0.0440251572327044,7.0,10.0,0.9
0,curr_cloud,116,-6.402439024390244,-525.0,0.18292682926829268,15.0,1.0,0.6219512195121951,51.0,10.0,0.05
0,curr_cloud,632,-2.3144654088050314,-368.0,2.3144654088050314,368.0,1.0,0.0,0.0,10.0,0.9
0,curr_cloud,122,-1.6344086021505377,-152.0,0.6666666666666666,62.0,1.0,0.0967741935483871,9.0,10.0,0.15
0,curr_cloud,638,-2.3773584905660377,-378.0,2.3144654088050314,368.0,1.0,0.006289308176100629,1.0,10.0,0.9
0,curr_cloud,128,-1.7419354838709677,-162.0,0.6666666666666666,62.0,1.0,0.10752688172043011,10.0,10.0,0.15
